time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.4324628328270384e-06,2.5085332995878476e-07,10.000100299710086,0.00027675253649217524,0.0010837557485174898,0.0,-0.00010726402485732321,2.164374747204344e-05,0.0033432185105339574,0.012529649505720376,0.040510261393331595,0.0,403.3277556339262,406.9695097371205,404.4345546396783,405.56125204836655
0.12000000000000001,-4.843511464615843e-05,1.2306473778102898e-05,10.008516602029072,0.001022712623633737,0.004071032231623306,0.0,-0.0018113356143829341,0.00047587666026114743,0.27717282893330514,0.012238217743342284,0.06381421508889525,0.0,488.24325365389114,489.9798676718612,488.81425934716833,488.7924252742147
0.18,-0.0002685513806482865,6.810228619563442e-05,10.030782575360465,0.0019803855029598694,0.007465214835506551,0.0,-0.005948746414660897,0.0014822246544066813,0.4649657252980967,0.022525075638010008,0.03532398302245797,0.0,464.5030789784485,462.2657244599766,464.27027492260885,465.0764497335447
0.23999999999999996,-0.0007869627122212796,0.00020263282287007355,10.061499609127663,0.003185870623985565,0.0100672143675693,0.0,-0.011573571277441365,0.003131809100795951,0.558891262687336,0.0147164315202794,0.05591488270814624,0.0,433.8358217608023,435.56206937301994,436.0644455946452,435.411744543603
0.3,-0.0016988672576198844,0.0004585436922498145,10.097701029771375,0.003782215168532055,0.013650159585027133,0.0,-0.019171824260107474,0.0054749315926551625,0.6477718320516357,-0.0019229858168662685,0.06639853523929641,0.0,433.4650471391693,434.3476116355648,434.21800817491516,432.81997939582527
0.36000000000000004,-0.003094184250684113,0.0008510560700281439,10.135939985940205,0.0036085686158653374,0.01753173933708929,0.0,-0.027669906293756954,0.007596745068695774,0.6268669357699279,-0.004910869299749173,0.0610448158491312,0.0,398.0766725814388,397.590145709484,396.6130786273263,396.33865826223973
0.4200000000000001,-0.005135376772433115,0.0013809790454663961,10.176732859206961,0.0033815205970118,0.022170019641713168,0.0,-0.04080769204479738,0.010040350536433904,0.732824599813401,-0.00162074373301939,0.09826554049495496,0.0,437.15360287931395,440.2481066095266,439.6608215526019,439.9333632488675
0.48000000000000015,-0.007937856498652623,0.0020345350419488776,10.218261488813715,0.003185420417141316,0.02792518794114862,0.0,-0.05304778328984129,0.011734120275053557,0.6515031127856042,-0.006786038215175394,0.09076200216108972,0.0,375.7040539774053,374.98561228533754,376.11926699581204,375.61880816538866
0.5400000000000001,-0.01176330604556809,0.002807519931408397,10.261892592549207,0.0025774303531092,0.03295353849313276,0.0,-0.0750452033138887,0.01397717775870005,0.8027548190230934,-0.017846963518429584,0.06388525651479654,0.0,453.87859540654756,451.7220764563099,454.50414949828894,453.6170366170934
0.6000000000000002,-0.016951991628810437,0.003694483121274846,10.312755208501729,0.00128265905309366,0.037131387877642474,0.0,-0.09831357898209236,0.015470500511740504,0.8925849630803631,-0.03034554725684278,0.0791698020166851,0.0,433.9508012520745,435.2354958050883,434.86023234921544,433.81210100534753
0.6600000000000003,-0.023691674536058017,0.004643794850571849,10.370760328307771,6.282826447204876,0.041570031346499725,0.0,-0.12684276458328003,0.015984787919040087,1.0407746819242922,-0.021970252508809972,0.06078173106869991,0.0,453.5221265677588,452.04704494272306,452.7339777526559,453.40708538595896
0.7200000000000003,-0.03222159159199587,0.005590158330022938,10.437292469989218,6.280980984604785,0.04490696622059076,0.0,-0.1578607609395536,0.015404636125566844,1.176814721293042,-0.06106092796545625,0.04250418510176189,0.0,449.79037335901717,448.3098739901512,451.5301452601749,448.365190563216
0.7800000000000004,-0.042758243527437484,0.0064476549856475746,10.513682095922437,6.277871480077282,0.047607301228823395,0.0,-0.19365651523517768,0.012792653807745668,1.3692775830144388,-0.03784914254566445,0.04958869224470394,0.0,467.6866889751841,468.23914571507436,465.0219822049692,466.8347352636698
0.8400000000000004,-0.05526230979746528,0.0071112694483106914,10.596509004449212,6.27650733882731,0.051125975848175464,0.0,-0.2234433586012234,0.009172887463000559,1.3915744820573748,-0.0027679358337229718,0.07240987106388741,0.0,412.72131074858686,414.7329899343902,412.0978420510946,415.18663310581854
0.9000000000000005,-0.06971883819476249,0.0075265308723323964,10.682510852759206,6.276536523881768,0.05607969487413911,0.0,-0.2589049035507563,0.004663944520929821,1.4750209913811843,0.0063090019630587255,0.09757730786455183,0.0,432.63536504877914,434.7545247986763,433.6840566577276,434.4457192301675
0.9600000000000005,-0.08643874631457184,0.007671158390649834,10.774047748699102,6.2776106077485885,0.06151295948076552,0.0,-0.2990020579228996,0.0002390634722276568,1.5760361478278742,0.03447449220595577,0.0703382076363261,0.0,441.0947988233045,438.8464355462379,438.4280657931429,440.7617503587905
1.0200000000000005,-0.10587283392508055,0.007561206312662875,10.874876122767374,6.279566900403109,0.06565254310018531,0.0,-0.3492776645626107,-0.0036644535408840856,1.7845700435619631,0.028576524214101336,0.06615863642340146,0.0,472.94756797266365,472.6288617568983,473.37978341297924,472.92608494648124
1.0800000000000005,-0.12827004980713175,0.007270076128975125,10.985913274812246,6.281398595061743,0.070210495696446,0.0,-0.39774481080651125,-0.005849592627734099,1.9164176915465367,0.034170269636688885,0.09059496804970556,0.0,451.0079562053088,452.98143501555006,448.85749378562747,449.31148709464907
1.1400000000000006,-0.15360209955776197,0.006890143212160243,11.10376461635849,0.00013606565490320577,0.07592396562983073,0.0,-0.4472138833681599,-0.0066129437279757635,2.011746427046982,0.027419435219978697,0.10316130546070573,0.0,438.43445746965756,439.4849755266295,440.6256638413721,440.0676320946324
